word,term_id
damiano,507
gastronomic,508
nigro,509
aperitif,510
piedmont,511
homemade,512
beef,513
portioned,514
might,515
summer,516
ahead,517
previous,518
langhe,519
which,520
bread,521
sauce,522
expect,523
maccheroncini,524
icecream,525
booked,526
last,527
pepper,528
attractive,529
topquality,530
fassona,531
generously,532
snack,533
alba,534
orange,535
look,536
staff,537
shine,538
date,539
glass,540
through,541
recommend,542
400,543
partnership,544
relationship,545
fresh,546
day,547
cabinet,548
close,549
nearby,550
storing,551
fishmonger,552
asking,553
displayed,554
supply,555
front,556
horatio,557
poet,558
car,559
skill,560
mother,561
daughter,562
twist,563
completes,564
professionalism,565
picture,566
entire,567
warm,568
part,569
little,570
father,571
sassi,572
matera,573
park,574
latin,575
venosa,576
various,577
restored,578
sardinian,579
tomato,580
tends,581
simple,582
bagna,583
named,584
culurgiones,585
typical,586
rosso,587
fregula,588
su,589
type,590
a,591
dcor,592
bombas,593
malloreddus,594
evocatively,595
fillet,596
sitzigorrus,597
pappai,598
casserole,599
biancu,600
snail,601
cun,602
bestknown,603
sardinias,604
bue,605
island,606
blancmange,607
sebadas,608
ball,609
stew,610
mazzara,611
lift,612
gaetano,613
sicilianstyle,614
verde,615
became,616
three,617
started,618
fermented,619
precise,620
charleston,621
afield,622
good,623
occupying,624
often,625
mondello,626
clear,627
example,628
acquired,629
cream,630
grape,631
sesame,632
returned,633
terrace,634
caf,635
main,636
demonstrates,637
renowned,638
palermo,639
try,640
leave,641
casentino,642
provide,643
sure,644
lasting,645
information,646
happy,647
recommendation,648
memory,649
keen,650
anyone,651
evidence,652
must,653
exclusively,654
beautifully,655
array,656
some,657
canal,658
preparation,659
accompanied,660
wide,661
included,662
champagne,663
location,664
order,665
elaborate,666
others,667
right,668
appreciate,669
start,670
indoor,671
period,672
bab,673
splendid,674
world,675
international,676
gallerie,677
napoli,678
pasticceria,679
varied,680
showcase,681
banco,682
latter,683
neapolitan,684
candele,685
for,686
parmigiana,687
ditalia,688
ragu,689
museum,690
aubergine,691
quicker,692
fifth,693
wall,694
take,695
mausoleum,696
bulgari,697
romito,698
memorable,699
welcoming,700
spaghetti,701
demonstrated,702
augustus,703
niko,704
mahogany,705
spacious,706
central,707
minimaliststyle,708
section,709
souschef,710
savona,711
renovated,712
ligurianinfluenced,713
side,714
recently,715
once,716
cement,717
italia,718
vescovado,719
quintogusto,720
corso,721
hospital,722
noli,723
owner,724
sergio,725
annarita,726
enthusiastic,727
goodquality,728
utmost,729
18c,730
include,731
musciora,732
pea,733
potato,734
highlight,735
tribute,736
vera,737
appealing,738
8course,739
filindeu,740
far,741
pay,742
cuttlefish,743
broth,744
esperienza,745
perched,746
shaded,747
surrounding,748
track,749
magical,750
castle,751
weather,752
lead,753
heinz,754
15,755
successful,756
francesco,757
immediately,758
threestarred,759
michelin,760
stay,761
hamlet,762
owned,763
11c,764
hill,765
past,766
dirt,767
casa,768
parretti,769
among,770
nunziata,771
privately,772
apartment,773
prolong,774
beck,775
tuscan,776
wishing,777
wisteria,778
atmosphere,779
anonymous,780
compensated,781
lively,782
pleasant,783
trattoria,784
rural,785
nod,786
focused,787
them,788
asbacari,789
extraordinary,790
range,791
and,792
demonstrate,793
known,794
keeping,795
allow,796
venetian,797
tuna,798
cheesecake,799
toffee,800
rispoli,801
mainly,802
escabechestyle,803
raspberry,804
occasionally,805
surrounded,806
continues,807
uphold,808
district,809
finedining,810
mussel,811
arcade,812
walk,813
austere,814
niche,815
archangel,816
due,817
earned,818
fame,819
guide,820
but,821
like,822
palate,823
rightfully,824
real,825
who,826
paradise,827
search,828
product,829
only,830
warehouse,831
soup,832
stuffed,833
unusual,834
lavagnas,835
cavi,836
copious,837
net,838
business,839
cabbage,840
ligurian,841
simply,842
solid,843
broccoli,844
overlook,845
villages,846
oldfashioned,847
narrow,848
alleyway,849
specialise,850
lavagna,851
60,852
pesto,853
price,854
alike,855
vitality,856
coast,857
hairpin,858
equa,859
esposito,860
fortified,861
itself,862
vico,863
series,864
vintage,865
bend,866
metre,867
background,868
awaits,869
gennaro,870
music,871
see,872
playing,873
tower,874
creating,875
1970s,876
move,877
linger,878
introduction,879
standing,880
beach,881
savour,882
coastline,883
balance,884
rugged,885
ponza,886
islands,887
ancient,888
greek,889
confines,890
pescatori,891
isola,892
within,893
marco,894
described,895
window,896
sacco,897
borromeo,898
dinner,899
bella,900
panoramic,901
perfect,902
verbano,903
lake,904
porticciolo,905
created,906
bassetti,907
lakeside,908
pride,909
enjoys,910
maggiore,911
riccardo,912
opposite,913
shore,914
freshwater,915
saffron,916
longestablished,917
lombardy,918
attentive,919
enhance,920
attract,921
foodlovers,922
season,923
dynamic,924
milano,925
marrow,926
peruse,927
scene,928
omaggio,929
milan,930
ossobuco,931
puglia,932
milanese,933
parmesan,934
tortelli,935
courteous,936
hardtofind,937
throughout,938
fabio,939
dedicated,940
the,941
today,942
reduction,943
tablet,944
negrini,945
pisani,946
fragrant,947
fireplace,948
clearly,949
mix,950
antique,951
idyllic,952
matched,953
told,954
century,955
love,956
mushroom,957
success,958
game,959
mountain,960
open,961
technical,962
lounge,963
expertise,964
connection,965
intensifying,966
primary,967
cooked,968
resounding,969
interior,970
etc,971
infallible,972
croce,973
pra,974
peak,975
strengthened,976
cultivating,977
story,978
santa,979
lost,980
farmhouse,981
national,982
never,983
groane,984
isarco,985
stubestyle,986
comfortable,987
stafler,988
tyrolean,989
romantic,990
internal,991
austria,992
wood,993
albeit,994
decidedly,995
alpine,996
chalet,997
featuring,998
profusion,999
sweetcorn,1000
leek,1001
warming,1002
immersed,1003
lamb,1004
rack,1005
fire,1006
creamed,1007
woodland,1008
verdant,1009
secluded,1010
thanks,1011
fondant,1012
jus,1013
low,1014
temperature,1015
cellar,1016
unnecessary,1017
slightly,1018
frill,1019
helm,1020
wellstocked,1021
500,1022
value,1023
acquaintance,1024
remain,1025
money,1026
themselves,1027
familyrun,1028
province,1029
whether,1030
bologna,1031
stayed,1032
1960s,1033
become,1034
founded,1035
spread,1036
management,1037
daily,1038
nephew,1039
change,1040
inn,1041
grandma,1042
giuseppa,1043
hand,1044
evening,1045
extending,1046
openplan,1047
pool,1048
lunchtime,1049
versilian,1050
normally,1051
booking,1052
request,1053
care,1054
second,1055
except,1056
club,1057
particular,1058
simpler,1059
swimming,1060
facility,1061
character,1062
freely,1063
marta,1064
tantris,1065
invitation,1066
essentially,1067
besides,1068
interprets,1069
reference,1070
grassi,1071
single,1072
parliament,1073
bottle,1074
rooted,1075
fare,1076
line,1077
nearest,1078
visible,1079
huge,1080
boutique,1081
air,1082
conditioning,1083
specialising,1084
entirely,1085
hang,1086
homely,1087
michele,1088
oldest,1089
pan,1090
copper,1091
lucca,1092
santantonio,1093
pot,1094
buca,1095
while,1096
reale,1097
caper,1098
suvereto,1099
familiare,1100
anchovy,1101
cut,1102
liguria,1103
men,1104
meeting,1105
involved,1106
woman,1107
cuneo,1108
point,1109
mention,1110
lord,1111
striking,1112
forte,1113
sophisticated,1114
skilful,1115
marmis,1116
byron,1117
technically,1118
deserves,1119
del,1120
cuneos,1121
feast,1122
bright,1123
female,1124
enthusiasm,1125
announced,1126
market,1127
that,1128
varies,1129
special,1130
according,1131
availability,1132
dominated,1133
hidden,1134
gastrosteria,1135
exciting,1136
promising,1137
beige,1138
courtyard,1139
locatello,1140
tone,1141
nadia,1142
personalises,1143
